Indicator code,Indicator name,Pillar
NW.NCA.FSTP.PC,"Renewable natural capital per capita, nonwood forest protection ecosystem services (real chained 2019 US$)",Unknown
NW.NCA.FSTP.TO,"Renewable natural capital, nonwood forest protection ecosystem services (real chained 2019 US$)",Unknown
NW.NCA.FSTW.PC,"Renewable natural capital per capita, forest water ecosystem services (real chained 2019 US$)",Unknown
NW.NCA.FSTW.TO,"Renewable natural capital, forest water ecosystem services (real chained 2019 US$)",Unknown
NW.NCA.FTIM.PC,"Renewable natural capital per capita, timber (real chained 2019 US$)",Unknown
NW.NCA.FTIM.TO,"Renewable natural capital, timber (real chained 2019 US$)",Unknown
NW.NCA.HYDR.PC,"Renewable natural capital per capita, hydropower energy (real chained 2019 US$)",Unknown
NW.NCA.HYDR.TO,"Renewable natural capital, hydropower energy (real chained 2019 US$)",Unknown
NW.NCA.MANG.PC,"Renewable natural capital per capita, mangroves (real chained 2019 US$)",Unknown
NW.NCA.MANG.TO,"Renewable natural capital, mangroves (real chained 2019 US$)",Unknown
NW.NCA.MBAU.PC,"Nonrenewable natural capital per capita, metals and minerals: bauxite (real chained 2019 US$)",Unknown
NW.NCA.MBAU.TO,"Nonrenewable natural capital, metals and minerals: bauxite (real chained 2019 US$)",Unknown
NW.NCA.MCOB.PC,"Nonrenewable natural capital per capita, metals and minerals: cobalt (real chained 2019 US$)",Unknown
NW.NCA.MCOB.TO,"Nonrenewable natural capital, metals and minerals: cobalt (real chained 2019 US$)",Unknown
NW.NCA.MCOP.PC,"Nonrenewable natural capital per capita, metals and minerals: copper (real chained 2019 US$)",Unknown
NW.NCA.MCOP.TO,"Nonrenewable natural capital, metals and minerals: copper (real chained 2019 US$)",Unknown
NW.NCA.MGOL.PC,"Nonrenewable natural capital per capita, metals and minerals: gold (real chained 2019 US$)",Unknown
NW.NCA.MGOL.TO,"Nonrenewable natural capital, metals and minerals: gold (real chained 2019 US$)",Unknown
NW.NCA.MINR.PC,"Nonrenewable natural capital per capita, metals and minerals, sub-index, total (real chained 2019 US$)",Unknown
NW.NCA.MINR.TO,"Nonrenewable natural capital, metals and minerals, sub-index, total (real chained 2019 US$)",Unknown
NW.NCA.MIRO.PC,"Nonrenewable natural capital per capita, metals and minerals: iron ore (real chained 2019 US$)",Unknown
NW.NCA.MIRO.TO,"Nonrenewable natural capital, metals and minerals: iron ore (real chained 2019 US$)",Unknown
NW.NCA.MLEA.PC,"Nonrenewable natural capital per capita, metals and minerals: lead (real chained 2019 US$)",Unknown
NW.NCA.MLEA.TO,"Nonrenewable natural capital, metals and minerals: lead (real chained 2019 US$)",Unknown
NW.NCA.MLIT.PC,"Nonrenewable natural capital per capita, metals and minerals: lithium (real chained 2019 US$)",Unknown
NW.NCA.MLIT.TO,"Nonrenewable natural capital, metals and minerals: lithium (real chained 2019 US$)",Unknown
NW.NCA.MMOL.PC,"Nonrenewable natural capital per capita, metals and minerals: molybdenum (real chained 2019 US$)",Unknown
NW.NCA.MMOL.TO,"Nonrenewable natural capital, metals and minerals: molybdenum (real chained 2019 US$)",Unknown
NW.NCA.MNIC.PC,"Nonrenewable natural capital per capita, metals and minerals: nickel (real chained 2019 US$)",G
NW.NCA.MNIC.TO,"Nonrenewable natural capital, metals and minerals: nickel (real chained 2019 US$)",G
NW.NCA.MPHO.PC,"Nonrenewable natural capital per capita, metals and minerals: phosphate (real chained 2019 US$)",Unknown
NW.NCA.MPHO.TO,"Nonrenewable natural capital, metals and minerals: phosphate (real chained 2019 US$)",Unknown
NW.NCA.MSIL.PC,"Nonrenewable natural capital per capita, metals and minerals: silver (real chained 2019 US$)",G
NW.NCA.MSIL.TO,"Nonrenewable natural capital, metals and minerals: silver (real chained 2019 US$)",G
NW.NCA.MTIN.PC,"Nonrenewable natural capital per capita, metals and minerals: tin (real chained 2019 US$)",Unknown
NW.NCA.MTIN.TO,"Nonrenewable natural capital, metals and minerals: tin (real chained 2019 US$)",Unknown
NW.NCA.MZIN.PC,"Nonrenewable natural capital per capita, metals and minerals: zinc (real chained 2019 US$)",Unknown
NW.NCA.MZIN.TO,"Nonrenewable natural capital, metals and minerals: zinc (real chained 2019 US$)",Unknown
NW.NCA.SACO.PC,"Nonrenewable natural capital per capita, coal (real chained 2019 US$)",Unknown
NW.NCA.SACO.TO,"Nonrenewable natural capital, coal (real chained 2019 US$)",Unknown
NW.NCA.SAGA.PC,"Nonrenewable natural capital per capita, natural gas (real chained 2019 US$)",E
NW.NCA.SAGA.TO,"Nonrenewable natural capital, natural gas (real chained 2019 US$)",E
NW.NCA.SAOI.PC,"Nonrenewable natural capital per capita, oil (real chained 2019 US$)",Unknown
NW.NCA.SAOI.TO,"Nonrenewable natural capital, oil (real chained 2019 US$)",Unknown
NW.NCA.SSOI.PC,"Nonrenewable natural capital per capita, total (real chained 2019 US$)",Unknown
NW.NCA.SSOI.TO,"Nonrenewable natural capital, total (real chained 2019 US$)",Unknown
NW.NCA.TOTL.PC,"Renewable natural capital per capita, total (real chained 2019 US$)",Unknown
NW.NCA.TOTL.TO,"Renewable natural capital, total (real chained 2019 US$)",Unknown
NW.NFA.PC,Foreign assets per capita (real chained 2019 US$),Unknown
NW.NFA.TO,Foreign assets (real chained 2019 US$),Unknown
NW.NFL.PC,Foreign liabilities per capita (real chained 2019 US$),Unknown
NW.NFL.TO,Foreign liabilities (real chained 2019 US$),Unknown
