ISO3 code,year,Economy,GDP_growth,E_score,S_score,G_score,E_score_lag1,S_score_lag1,G_score_lag1,inflation,population_growth,d_E_score
MMR,2000,Myanmar,13.7459,31.18482863354046,40.63706230078084,3.766274023558587,29.446371216383085,41.46899140407516,1.0926844389336638,-0.1092,1.1171,1.738457417157374
MMR,2001,Myanmar,11.344,29.300957087246825,41.45346593656254,2.150495970241786,31.18482863354046,40.63706230078084,3.766274023558587,21.1013,1.0549,-1.8838715462936335
MMR,2002,Myanmar,12.0255,29.64326946695503,39.61473876929797,5.668784872907627,29.300957087246825,41.45346593656254,2.150495970241786,57.0745,1.0033,0.34231237970820416
MMR,2003,Myanmar,13.844,29.189449063179246,39.81069551049237,,29.64326946695503,39.61473876929797,5.668784872907627,36.5897,0.9355,-0.4538204037757829
MMR,2004,Myanmar,13.5647,29.597062389325224,40.05370859845681,,29.189449063179246,39.81069551049237,,4.5342,0.8568,0.40761332614597734
MMR,2005,Myanmar,13.569,29.69949793402399,40.19913919442914,,29.597062389325224,40.05370859845681,,9.3686,0.7822,0.1024355446987677
MMR,2006,Myanmar,13.0761,29.96744519567595,41.5164058954714,,29.69949793402399,40.19913919442914,,19.9965,0.7283,0.26794726165195826
MMR,2007,Myanmar,11.9914,30.24397786539012,41.94818758248647,,29.96744519567595,41.5164058954714,,35.0246,0.7088,0.2765326697141717
MMR,2008,Myanmar,10.2553,29.487965571240476,41.531689083208526,,30.24397786539012,41.94818758248647,,26.7995,0.5507,-0.7560122941496452
MMR,2009,Myanmar,10.55,30.46313370831733,42.70520138067585,,29.487965571240476,41.531689083208526,,1.4723,0.5557,0.975168137076853
MMR,2010,Myanmar,9.6344,30.558478233597143,43.41418525647092,,30.46313370831733,42.70520138067585,,7.7184,0.7451,0.0953445252798133
MMR,2011,Myanmar,5.5915,29.57903931841676,40.47586461441677,,30.558478233597143,43.41418525647092,,5.0215,0.8034,-0.9794389151803813
MMR,2012,Myanmar,7.3327,29.99677833120732,43.17745178509909,,29.57903931841676,40.47586461441677,,1.4676,0.8415,0.4177390127905589
MMR,2013,Myanmar,8.426,30.43840853570421,43.46779554919517,,29.99677833120732,43.17745178509909,,5.643,0.8496,0.4416302044968887
MMR,2014,Myanmar,8.1699,31.00058766642124,45.58084107574392,,30.43840853570421,43.46779554919517,,4.9533,0.8301,0.5621791307170305
MMR,2015,Myanmar,6.9928,31.06477997675827,46.25355654849346,82.6583592938733,31.00058766642124,45.58084107574392,,9.4542,0.8007,0.06419231033703099
MMR,2016,Myanmar,5.8625,32.404008448637086,44.22252378280555,,31.06477997675827,46.25355654849346,82.6583592938733,6.9288,0.7928,1.3392284718788154
MMR,2017,Myanmar,6.1361,33.612013778598325,41.3572044509919,40.24310404044501,32.404008448637086,44.22252378280555,,4.5725,0.7723,1.2080053299612388
MMR,2018,Myanmar,6.2689,32.16698852269704,42.87673619835703,1.6622752634841906,33.612013778598325,41.3572044509919,40.24310404044501,6.8723,0.7244,-1.4450252559012853
MMR,2019,Myanmar,6.5791,31.73702052374052,44.185718648405626,2.6154680719156853,32.16698852269704,42.87673619835703,1.6622752634841906,8.8251,0.7024,-0.4299679989565206
MMR,2020,Myanmar,-9.0483,32.30209041719672,42.672025762467385,5.41692498450093,31.73702052374052,44.185718648405626,2.6154680719156853,,0.7114,0.5650698934562044
MMR,2021,Myanmar,-12.0164,32.54492377851959,41.41246366145868,4.188623682579045,32.30209041719672,42.672025762467385,5.41692498450093,,0.6966,0.24283336132286593
MMR,2022,Myanmar,4.0375,29.73335864685148,42.21721919227042,0.7478301301921885,32.54492377851959,41.41246366145868,4.188623682579045,,0.6901,-2.8115651316681074
MMR,2023,Myanmar,0.9584,28.42638919531063,42.731006025832464,0.3061066336019839,29.73335864685148,42.21721919227042,0.7478301301921885,,0.6989,-1.3069694515408514
MMR,2024,Myanmar,-0.972,23.1844492570562,39.81174969230238,,28.42638919531063,42.731006025832464,0.3061066336019839,,0.6744,-5.241939938254429
MYS,1961,Malaysia,7.598,21.6961162992104,50.51458710843206,,22.729789136436548,51.5866454138728,,-0.1804,2.5837,
MYS,1962,Malaysia,6.421,23.23465112643629,50.70426677210212,,21.6961162992104,50.51458710843206,,0.1084,2.608,1.5385348272258916
MYS,1963,Malaysia,7.3388,20.502724270477348,50.80195290797316,,23.23465112643629,50.70426677210212,,3.1053,2.6145,-2.7319268559589425
MYS,1964,Malaysia,5.359,20.527183059894995,50.73761732099126,,20.502724270477348,50.80195290797316,,-0.4027,2.5961,0.024458789417646898
MYS,1965,Malaysia,7.6849,21.12817145290927,50.54081830829224,,20.527183059894995,50.73761732099126,,-0.1055,2.5498,0.6009883930142763
MYS,1966,Malaysia,7.8167,22.3304912164426,50.26670075629597,,21.12817145290927,50.54081830829224,,0.968,2.4894,1.2023197635333283
MYS,1967,Malaysia,3.8571,20.929049482985945,49.75488220516053,,22.3304912164426,50.26670075629597,,4.5756,2.3672,-1.4014417334566538
MYS,1968,Malaysia,7.978,19.65561214263038,49.51626112566693,,20.929049482985945,49.75488220516053,,-0.1583,2.269,-1.2734373403555672
MYS,1969,Malaysia,4.8885,20.75772093021853,49.40542787711736,,19.65561214263038,49.51626112566693,,-0.409,2.2602,1.1021087875881506
MYS,1970,Malaysia,5.9865,22.19632401309383,52.04335165327645,,20.75772093021853,49.40542787711736,,1.8439,2.2976,1.4386030828753
MYS,1971,Malaysia,10.0347,20.66424001515452,49.651877649945945,,22.19632401309383,52.04335165327645,,1.613,2.3751,-1.53208399793931
MYS,1972,Malaysia,9.3884,18.107336120205744,49.70676254870197,,20.66424001515452,49.651877649945945,,3.2316,2.4018,-2.556903894948775
MYS,1973,Malaysia,11.7011,18.749432497099555,49.76926467295824,,18.107336120205744,49.70676254870197,,10.5602,2.3949,0.6420963768938108
MYS,1974,Malaysia,8.3187,19.312823832745757,51.10516009333556,,18.749432497099555,49.76926467295824,,17.329,2.3969,0.5633913356462017
MYS,1975,Malaysia,0.8011,19.60212499679556,52.04508559481644,,19.312823832745757,51.10516009333556,,4.4877,2.3907,0.2893011640498031
MYS,1976,Malaysia,11.5635,19.009621383014,49.87449539712998,,19.60212499679556,52.04508559481644,,2.6337,2.396,-0.5925036137815596
MYS,1977,Malaysia,7.7531,19.69435218292872,49.86660866963702,,19.009621383014,49.87449539712998,,4.7882,2.4017,0.6847307999147212
MYS,1978,Malaysia,6.6539,19.899215212335136,49.85662125634058,,19.69435218292872,49.86660866963702,,4.8601,2.4008,0.20486302940641465
MYS,1979,Malaysia,9.3491,20.02646393384518,49.8770871350519,,19.899215212335136,49.85662125634058,,3.6545,2.402,0.12724872151004263
MYS,1980,Malaysia,7.4418,21.7780008648566,50.69629219914523,,20.02646393384518,49.8770871350519,,6.6749,2.7763,1.7515369310114224
MYS,1981,Malaysia,6.9421,22.24839575666693,53.01454234489604,,21.7780008648566,50.69629219914523,,9.7,3.1526,0.47039489181032934
MYS,1982,Malaysia,5.9432,21.0863382314428,53.99630432858768,,22.24839575666693,53.01454234489604,,5.8189,3.1847,-1.1620575252241316
MYS,1983,Malaysia,6.2522,21.79529634489865,54.51279562355249,,21.0863382314428,53.99630432858768,,3.7042,3.2231,0.70895811345585
MYS,1984,Malaysia,7.7618,23.75673772193161,57.96411209425028,40.80996884735203,21.79529634489865,54.51279562355249,,3.8973,3.258,1.961441377032962
MYS,1985,Malaysia,-1.0253,22.984963052706007,54.01229645114896,,23.75673772193161,57.96411209425028,40.80996884735203,0.3465,3.2874,-0.7717746692256036
MYS,1986,Malaysia,1.2406,20.657624255261418,52.69272072465219,,22.984963052706007,54.01229645114896,,0.737,3.2774,-2.3273387974445896
MYS,1987,Malaysia,5.1919,22.21348726375016,56.87321637666785,41.53686396677051,20.657624255261418,52.69272072465219,,0.29,3.2235,1.5558630084887426
MYS,1988,Malaysia,9.9377,23.795786766945103,54.00345938770411,,22.21348726375016,56.87321637666785,41.53686396677051,2.5565,3.144,1.5822995031949425
MYS,1989,Malaysia,9.0596,22.909194371020583,56.110287791485504,41.53686396677051,23.795786766945103,54.00345938770411,,2.8132,3.0396,-0.8865923959245201
MYS,1990,Malaysia,9.0085,27.99074438037657,44.021964486218906,,22.909194371020583,56.110287791485504,41.53686396677051,2.6178,2.9487,5.081550009355986
MYS,1991,Malaysia,9.5455,27.72798892745648,49.25635518591458,,27.99074438037657,44.021964486218906,,4.3583,2.8159,-0.2627554529200893
MYS,1992,Malaysia,8.8851,27.09914018939364,50.41856083790256,38.21391484942888,27.72798892745648,49.25635518591458,,4.7672,2.6475,-0.6288487380628389
MYS,1993,Malaysia,9.8949,27.594741808266523,48.37001786121957,,27.09914018939364,50.41856083790256,38.21391484942888,3.5366,2.5585,0.49560161887288245
MYS,1994,Malaysia,9.212,28.32662196056249,48.63545412203382,,27.594741808266523,48.37001786121957,,3.725,2.5435,0.7318801522959681
MYS,1995,Malaysia,9.8291,29.602436994694315,50.35502659200434,8.125215818352402,28.32662196056249,48.63545412203382,,3.4506,2.5413,1.2758150341318242
MYS,1996,Malaysia,10.0027,28.973657957600714,49.3321514744304,2.1222921524406098,29.602436994694315,50.35502659200434,8.125215818352402,3.4886,2.5231,-0.6287790370936008
MYS,1997,Malaysia,7.3227,28.51294597056597,51.77603126035314,6.04937361699298,28.973657957600714,49.3321514744304,2.1222921524406098,2.6625,2.4874,-0.46071198703474536
MYS,1998,Malaysia,-7.3594,29.66388198580756,49.26118256517666,3.277489763309333,28.51294597056597,51.77603126035314,6.04937361699298,5.2703,2.4561,1.1509360152415908
MYS,1999,Malaysia,6.1376,31.25113739652644,49.62403321771138,0.2880861226965931,29.66388198580756,49.26118256517666,3.277489763309333,2.7446,2.3853,1.5872554107188783
MYS,2000,Malaysia,8.8589,32.8918024935782,55.641471805258064,3.695327750143355,31.25113739652644,49.62403321771138,0.2880861226965931,1.5347,2.3448,1.640665097051759
MYS,2001,Malaysia,0.5177,32.00243763643535,52.717980344963,0.228545068257995,32.8918024935782,55.641471805258064,3.695327750143355,1.4168,2.4035,-0.8893648571428443
MYS,2002,Malaysia,5.391,32.085677539886994,53.398056914010816,5.115012678970242,32.00243763643535,52.717980344963,0.228545068257995,1.8079,2.4186,0.08323990345164134
MYS,2003,Malaysia,5.7885,32.888659796002464,54.79355946890665,5.891858969964697,32.085677539886994,53.398056914010816,5.115012678970242,1.0897,2.3662,0.8029822561154702
MYS,2004,Malaysia,6.7834,33.414171175663306,52.546850002565705,4.705267862589581,32.888659796002464,54.79355946890665,5.891858969964697,1.4213,2.3117,0.5255113796608413
MYS,2005,Malaysia,5.3321,33.91456602372197,51.044260048440776,0.2231732975752062,33.414171175663306,52.546850002565705,4.705267862589581,2.9751,2.2677,0.5003948480586615
