ISO3 code,Economy,year,GDP_growth,E_score,S_score,G_score,E_score_lag1,S_score_lag1,G_score_lag1,inflation,population_growth
IDN,Indonesia,1982,2.2464,35.929858622979616,53.3748908921533,,36.75051407190757,52.76178821076346,,9.4454,2.3124
IDN,Indonesia,1983,4.193,37.383092305194694,54.02014634125409,,35.929858622979616,53.3748908921533,,11.7997,2.2802
IDN,Indonesia,1984,6.9755,38.85267434290044,48.91495586686544,100.0,37.383092305194694,54.02014634125409,,10.455,2.2297
IDN,Indonesia,1985,2.4621,37.897070706068455,50.661477725515525,,38.85267434290044,48.91495586686544,100.0,4.7245,2.1363
IDN,Indonesia,1986,5.875,38.96929485167296,55.80308588048974,,37.897070706068455,50.661477725515525,,5.8227,2.0175
IDN,Indonesia,1987,4.9259,38.55947779662243,48.783288199720246,100.0,38.96929485167296,55.80308588048974,,9.2787,1.9414
IDN,Indonesia,1988,5.7805,41.11246022182244,55.980946852265674,,38.55947779662243,48.783288199720246,100.0,8.0454,1.9089
IDN,Indonesia,1989,7.4566,41.22411842291539,51.25594244276931,,41.11246022182244,55.980946852265674,,6.4155,1.8746
IDN,Indonesia,1990,7.2421,43.39069188404676,42.69984180575064,99.27310488058151,41.22411842291539,51.25594244276931,,7.8192,1.8144
IDN,Indonesia,1991,6.912,41.851900978274,41.98350220961263,,43.39069188404676,42.69984180575064,99.27310488058151,9.4191,1.7701
IDN,Indonesia,1992,6.4975,43.30226492287813,42.38782905323672,,41.851900978274,41.98350220961263,,7.5235,1.7332
IDN,Indonesia,1993,6.4964,43.03133715864902,41.317367426157126,99.06542056074765,43.30226492287813,42.38782905323672,,9.6719,1.7016
IDN,Indonesia,1994,7.54,43.08788041859895,39.23291905769696,,43.03133715864902,41.317367426157126,99.06542056074765,8.532,1.686
IDN,Indonesia,1995,8.22,45.367651228331894,46.425450794232916,34.96423472648549,43.08788041859895,39.23291905769696,,9.4203,1.6628
IDN,Indonesia,1996,7.8182,45.47671032716456,45.858753119200884,47.13693042583108,45.367651228331894,46.425450794232916,34.96423472648549,7.9733,1.6455
IDN,Indonesia,1997,4.6999,44.35682983623488,45.51911250931596,33.93882229347765,45.47671032716456,45.858753119200884,47.13693042583108,6.2262,1.6263
IDN,Indonesia,1998,-13.1267,45.43030601127991,42.98959656302728,46.724715642625384,44.35682983623488,45.51911250931596,33.93882229347765,58.451,1.5807
IDN,Indonesia,1999,0.7911,47.33242558081173,45.79933699248717,45.87749010714877,45.43030601127991,42.98959656302728,46.724715642625384,20.4778,1.5032
IDN,Indonesia,2000,4.9201,45.24161133256381,41.10174432189035,38.095551169282345,47.33242558081173,45.79933699248717,45.87749010714877,3.6886,1.4324
IDN,Indonesia,2001,3.6435,45.406699153389916,42.66680309433681,37.45268845573437,45.24161133256381,41.10174432189035,38.095551169282345,11.5001,1.388
IDN,Indonesia,2002,4.4995,45.77979305626402,43.15385912941466,43.83468986372818,45.406699153389916,42.66680309433681,37.45268845573437,11.9001,1.3557
IDN,Indonesia,2003,4.7804,46.2816332868409,42.600221422815295,43.437210633177095,45.77979305626402,43.15385912941466,43.83468986372818,6.7573,1.3238
IDN,Indonesia,2004,5.0309,48.211052961144844,44.22805026027985,42.86576140772998,46.2816332868409,42.600221422815295,43.437210633177095,6.0641,1.271
IDN,Indonesia,2005,5.6926,47.828864505968994,48.09593883378662,42.37596344923966,48.211052961144844,44.22805026027985,42.86576140772998,10.4532,1.2838
IDN,Indonesia,2006,5.501,49.332938108195584,49.78436454603329,41.98405454159355,47.828864505968994,48.09593883378662,42.37596344923966,13.1087,1.3253
IDN,Indonesia,2007,6.345,49.30161427176087,47.54714366980125,40.975943053006844,49.332938108195584,49.78436454603329,41.98405454159355,6.4066,1.3209
IDN,Indonesia,2008,6.0137,49.460595578999204,49.790368274382246,40.476993792272154,49.30161427176087,47.54714366980125,40.975943053006844,10.2267,1.2974
IDN,Indonesia,2009,4.6289,51.33458229583454,49.42820958500491,34.96007849959418,49.460595578999204,49.790368274382246,40.476993792272154,4.3864,1.267
IDN,Indonesia,2010,6.2239,51.183276440503846,48.31996076799522,40.1668174071223,51.33458229583454,49.42820958500491,34.96007849959418,5.1342,1.2605
IDN,Indonesia,2011,6.1698,52.58392700753265,52.2325464009382,38.96163962196463,51.183276440503846,48.31996076799522,40.1668174071223,5.356,1.2767
IDN,Indonesia,2012,6.0301,54.633901566226754,50.04877436201417,38.39141184166594,52.58392700753265,52.2325464009382,38.96163962196463,4.2795,1.2858
IDN,Indonesia,2013,5.5573,52.38961173613588,51.271057897738224,32.69696677433581,54.633901566226754,50.04877436201417,38.39141184166594,6.4125,1.2404
IDN,Indonesia,2014,5.0067,53.69718226498353,53.03398161551278,38.33646120423989,52.38961173613588,51.271057897738224,32.69696677433581,6.3949,1.1754
IDN,Indonesia,2015,4.8763,55.28099280065294,53.46765587715478,38.08257108497439,53.69718226498353,53.03398161551278,38.33646120423989,6.3631,1.1223
IDN,Indonesia,2016,5.0331,54.236504436844285,51.6252031749014,32.22344799624526,55.28099280065294,53.46765587715478,38.08257108497439,3.5258,1.0745
IDN,Indonesia,2017,5.0698,53.577130194296394,48.07304763303648,30.855195497525433,54.236504436844285,51.6252031749014,32.22344799624526,3.8088,1.0223
IDN,Indonesia,2018,5.1743,55.018769165549465,50.99193606931396,56.56872410719857,53.577130194296394,48.07304763303648,30.855195497525433,3.1983,0.9697
IDN,Indonesia,2019,5.0193,55.10729312388047,51.90041843261055,54.828033375639656,55.018769165549465,50.99193606931396,56.56872410719857,3.0306,0.9356
IDN,Indonesia,2020,-2.0655,53.643279615454446,51.204060056684426,55.31310701784698,55.10729312388047,51.90041843261055,54.828033375639656,1.9198,0.8498
